33440284,         To Kill a Mockingbird,         Drama,         Harper Lee, 25.0
24000124,         Frankenstein,         Gothic Fiction,         Mary Shelley, 5.0
24000124,         Frankenstein,         Gothic Fiction,         Mary Shelley, 5.0
24000124,         Frankenstein,         Gothic Fiction,         Mary Shelley, 5.0
26000124,         The Divine Comedy,         Epic Poetry,         Dante Alighieri, 15.0
26000124,         The Divine Comedy,         Epic Poetry,         Dante Alighieri, 15.0
26000124,         The Divine Comedy,         Epic Poetry,         Dante Alighieri, 15.0
26000124,         The Divine Comedy,         Epic Poetry,         Dante Alighieri, 15.0
26000124,         The Divine Comedy,         Epic Poetry,         Dante Alighieri, 15.0
27000124,         Jane Eyre,         Gothic Romance,         Charlotte Bronte, 20.0
27000124,         Jane Eyre,         Gothic Romance,         Charlotte Bronte, 20.0
27000124,         Jane Eyre,         Gothic Romance,         Charlotte Bronte, 20.0
27000124,         Jane Eyre,         Gothic Romance,         Charlotte Bronte, 20.0
27000124,         Jane Eyre,         Gothic Romance,         Charlotte Bronte, 20.0
27000124,         Jane Eyre,         Gothic Romance,         Charlotte Bronte, 20.0
28000124,         The Canterbury Tales,         Medieval Poetry,         Geoffrey Chaucer, 25.0
28000124,         The Canterbury Tales,         Medieval Poetry,         Geoffrey Chaucer, 25.0
28000124,         The Canterbury Tales,         Medieval Poetry,         Geoffrey Chaucer, 25.0
28000124,         The Canterbury Tales,         Medieval Poetry,         Geoffrey Chaucer, 25.0
28000124,         The Canterbury Tales,         Medieval Poetry,         Geoffrey Chaucer, 25.0
28000124,         The Canterbury Tales,         Medieval Poetry,         Geoffrey Chaucer, 25.0
29000124,         Don Quixote,         Adventure Fiction,         Miguel de Cervantes, 30.0
29000124,         Don Quixote,         Adventure Fiction,         Miguel de Cervantes, 30.0
29000124,         Don Quixote,         Adventure Fiction,         Miguel de Cervantes, 30.0
29000124,         Don Quixote,         Adventure Fiction,         Miguel de Cervantes, 30.0
29000124,         Don Quixote,         Adventure Fiction,         Miguel de Cervantes, 30.0
29000124,         Don Quixote,         Adventure Fiction,         Miguel de Cervantes, 30.0
